Google Flu Trends - Australia
Copyright 2015 Google Inc.

Exported data may be used for any purpose, subject to the Google Terms of Service (http://www.google.com/accounts/TOS?hl=en_US).
If you choose to use the data, please attribute it to Google as follows: "Data Source: Google Flu Trends (http://www.google.org/flutrends)".

Each week begins on the Sunday (Pacific Time) indicated for the row.
Data for the current week will be updated each day until Saturday (Pacific Time).
Note: To open these files in a spreadsheet application, we recommend you save each text file as a CSV spreadsheet.
For more information, please visit http://www.google.org/flutrends

Date,Australia,Australian Capital Territory,New South Wales,Queensland,South Australia,Victoria,Western Australia
2014-12-14,164,67,142,169,157,202,140
2014-12-21,191,85,207,183,236,232,201
2014-12-28,204,112,197,201,173,252,195
2015-01-04,186,105,164,211,166,217,153
2015-01-11,158,92,143,205,166,163,134
2015-01-18,155,77,162,172,135,167,106
2015-01-25,147,79,165,172,120,139,117
2015-02-01,152,77,158,209,149,153,110
2015-02-08,169,67,201,194,163,145,115
2015-02-15,207,84,213,204,223,216,191
2015-02-22,259,91,263,320,238,278,196
2015-03-01,298,127,297,361,204,334,233
2015-03-08,276,130,286,311,243,288,240
2015-03-15,329,181,335,343,375,352,213
2015-03-22,389,223,367,431,414,383,419
2015-03-29,310,246,308,353,348,300,258
2015-04-05,404,254,410,463,473,395,290
2015-04-12,449,315,497,514,497,469,223
2015-04-19,432,296,384,453,544,533,284
2015-04-26,424,268,379,488,487,487,293
2015-05-03,492,290,514,543,479,509,324
2015-05-10,610,288,624,639,541,694,449
2015-05-17,645,371,648,614,646,737,486
2015-05-24,674,418,652,668,915,722,556
2015-05-31,760,447,802,647,805,853,544
2015-06-07,767,563,789,694,829,867,568
2015-06-14,757,579,742,699,821,854,645
2015-06-21,913,625,871,798,1208,1036,757
2015-06-28,923,905,967,825,1157,971,797
2015-07-05,1211,1202,1181,1220,1468,1259,1025
2015-07-12,1135,1140,1009,1426,1185,1111,1256
2015-07-19,1274,1156,1128,1567,1578,1197,1207
2015-07-26,1411,781,1282,2014,1547,1356,1105
2015-08-02,1823,767,1636,2544,2297,1967,970
2015-08-09,2216,1057,1981,3283,2695,2259,1317
